dataset_name,classifier_name,splitter_method,n_splits,metric_name,expected_estimate,estimate_std
allrep,RandomForestClassifier,ShuffleSplit,5,balanced_accuracy,0.83368,0.04419
allrep,RandomForestClassifier,ShuffleSplit,5,f1,0.61867,0.04295
allrep,RandomForestClassifier,ShuffleSplit,5,precision,0.55756,0.04453
allrep,RandomForestClassifier,ShuffleSplit,5,recall,0.81937,0.04891
allrep,RandomForestClassifier,ShuffleSplit,10,accuracy,0.95204,0.00485
allrep,RandomForestClassifier,ShuffleSplit,10,balanced_accuracy,0.83763,0.02989
allrep,RandomForestClassifier,ShuffleSplit,10,f1,0.61494,0.03121
allrep,RandomForestClassifier,ShuffleSplit,10,precision,0.55464,0.03184
allrep,RandomForestClassifier,ShuffleSplit,10,recall,0.82335,0.03045
allrep,RandomForestClassifier,StratifiedKFold,2,accuracy,0.95933,0.00289
allrep,RandomForestClassifier,StratifiedKFold,2,balanced_accuracy,0.77919,0.03048
allrep,RandomForestClassifier,StratifiedKFold,2,f1,0.64586,0.02585
allrep,RandomForestClassifier,StratifiedKFold,2,precision,0.58724,0.02681
allrep,RandomForestClassifier,StratifiedKFold,2,recall,0.77919,0.03048
allrep,RandomForestClassifier,StratifiedKFold,5,accuracy,0.95493,0.00379
allrep,RandomForestClassifier,StratifiedKFold,5,balanced_accuracy,0.83076,0.02702
allrep,RandomForestClassifier,StratifiedKFold,5,f1,0.65102,0.02306
allrep,RandomForestClassifier,StratifiedKFold,5,precision,0.57733,0.02205
allrep,RandomForestClassifier,StratifiedKFold,5,recall,0.83076,0.02702
allrep,RandomForestClassifier,StratifiedKFold,10,accuracy,0.95256,0.00234
allrep,RandomForestClassifier,StratifiedKFold,10,balanced_accuracy,0.83113,0.02609
allrep,RandomForestClassifier,StratifiedKFold,10,f1,0.64347,0.02276
allrep,RandomForestClassifier,StratifiedKFold,10,precision,0.57736,0.02461
allrep,RandomForestClassifier,StratifiedKFold,10,recall,0.83113,0.02609
allrep,RandomForestClassifier,StratifiedShuffleSplit,2,accuracy,0.95117,0.00768
allrep,RandomForestClassifier,StratifiedShuffleSplit,2,balanced_accuracy,0.84217,0.04702
allrep,RandomForestClassifier,StratifiedShuffleSplit,2,f1,0.64846,0.04099
allrep,RandomForestClassifier,StratifiedShuffleSplit,2,precision,0.58311,0.04926
allrep,RandomForestClassifier,StratifiedShuffleSplit,2,recall,0.84217,0.04702
allrep,RandomForestClassifier,StratifiedShuffleSplit,5,accuracy,0.95082,0.00822
allrep,RandomForestClassifier,StratifiedShuffleSplit,5,balanced_accuracy,0.83199,0.03694
allrep,RandomForestClassifier,StratifiedShuffleSplit,5,f1,0.63904,0.03674
allrep,RandomForestClassifier,StratifiedShuffleSplit,5,precision,0.57391,0.03962
allrep,RandomForestClassifier,StratifiedShuffleSplit,5,recall,0.83199,0.03694
