,dataset_name,classifier_name,splitter_method,repeat_id,n_splits,running_time
408,flare,LogisticRegression,StratifiedShuffleSplit,16,2,0.0014
409,flare,LogisticRegression,StratifiedShuffleSplit,16,5,0.0025
410,flare,LogisticRegression,StratifiedShuffleSplit,16,10,0.0045
411,flare,LogisticRegression,StratifiedShuffleSplit,17,2,0.0014
412,flare,LogisticRegression,StratifiedShuffleSplit,17,5,0.0026
413,flare,LogisticRegression,StratifiedShuffleSplit,17,10,0.0046
414,flare,LogisticRegression,StratifiedShuffleSplit,18,2,0.0014
415,flare,LogisticRegression,StratifiedShuffleSplit,18,5,0.0026
416,flare,LogisticRegression,StratifiedShuffleSplit,18,10,0.0045
417,flare,LogisticRegression,StratifiedShuffleSplit,19,2,0.0014
418,flare,LogisticRegression,StratifiedShuffleSplit,19,5,0.0026
419,flare,LogisticRegression,StratifiedShuffleSplit,19,10,0.0045
420,flare,LogisticRegression,ShuffleSplit,0,2,0.0004
421,flare,LogisticRegression,ShuffleSplit,0,5,0.0004
422,flare,LogisticRegression,ShuffleSplit,0,10,0.0005
423,flare,LogisticRegression,ShuffleSplit,1,2,0.0004
424,flare,LogisticRegression,ShuffleSplit,1,5,0.0004
425,flare,LogisticRegression,ShuffleSplit,1,10,0.0005
426,flare,LogisticRegression,ShuffleSplit,2,2,0.0004
427,flare,LogisticRegression,ShuffleSplit,2,5,0.0004
428,flare,LogisticRegression,ShuffleSplit,2,10,0.0005
429,flare,LogisticRegression,ShuffleSplit,3,2,0.0004
430,flare,LogisticRegression,ShuffleSplit,3,5,0.0004
431,flare,LogisticRegression,ShuffleSplit,3,10,0.0005
432,flare,LogisticRegression,ShuffleSplit,4,2,0.0004
433,flare,LogisticRegression,ShuffleSplit,4,5,0.0004
434,flare,LogisticRegression,ShuffleSplit,4,10,0.0005
435,flare,LogisticRegression,ShuffleSplit,5,2,0.0004
436,flare,LogisticRegression,ShuffleSplit,5,5,0.0004
437,flare,LogisticRegression,ShuffleSplit,5,10,0.0005
438,flare,LogisticRegression,ShuffleSplit,6,2,0.0004
439,flare,LogisticRegression,ShuffleSplit,6,5,0.0005
440,flare,LogisticRegression,ShuffleSplit,6,10,0.0005
441,flare,LogisticRegression,ShuffleSplit,7,2,0.0004
442,flare,LogisticRegression,ShuffleSplit,7,5,0.0004
443,flare,LogisticRegression,ShuffleSplit,7,10,0.0005
444,flare,LogisticRegression,ShuffleSplit,8,2,0.0004
445,flare,LogisticRegression,ShuffleSplit,8,5,0.0004
446,flare,LogisticRegression,ShuffleSplit,8,10,0.0005
447,flare,LogisticRegression,ShuffleSplit,9,2,0.0004
448,flare,LogisticRegression,ShuffleSplit,9,5,0.0004
449,flare,LogisticRegression,ShuffleSplit,9,10,0.0006
450,flare,LogisticRegression,ShuffleSplit,10,2,0.0004
451,flare,LogisticRegression,ShuffleSplit,10,5,0.0005
452,flare,LogisticRegression,ShuffleSplit,10,10,0.0005
453,flare,LogisticRegression,ShuffleSplit,11,2,0.0004
454,flare,LogisticRegression,ShuffleSplit,11,5,0.0004
455,flare,LogisticRegression,ShuffleSplit,11,10,0.0006
456,flare,LogisticRegression,ShuffleSplit,12,2,0.0004
